
           Total tracked memory (including duplicates, so too high) = 130769712
Unity  components of total size: 86970323
    Type ETCButton (ID: 122156) of size 9708
    Type ETCButton (ID: 122176) of size 9708
    Type ETCButton (ID: 122416) of size 9708
    Type ETCButton (ID: 122146) of size 9708
    Type ETCButton (ID: 122398) of size 9708
    Type ETCButton (ID: 122340) of size 9708
    Type ComExpBar (ID: -170694) of size 9704
    Type ComCommonBind (ID: 109882) of size 9672
    Type ComExpBar (ID: -169094) of size 8940
    Type ComDungeonScoreInfo (ID: 126250) of size 8420
    Type ComDungeonScoreInfo (ID: 126254) of size 8420
    Type UnityEngine.UI.Text (ID: 117818) of size 7996
    Type UnityEngine.UI.Text (ID: 102488) of size 7996
    Type UnityEngine.UI.Dropdown (ID: 93582) of size 7880
    Type GeAnimDescProxy (ID: -225106) of size 7824
    Type GeAnimDescProxy (ID: 94704) of size 7824
    Type ComExpBar (ID: 103420) of size 7556
    Type UnityEngine.UI.Text (ID: 93604) of size 7484
    Type UnityEngine.UI.Text (ID: 126998) of size 7484
    Type UnityEngine.UI.Text (ID: 127092) of size 7484
    Type ComDungeonScoreInfo (ID: 118502) of size 7324
    Type DG.Tweening.DOTweenAnimation (ID: 125632) of size 7156
    Type DG.Tweening.DOTweenAnimation (ID: 125622) of size 7156
    Type ActiveUpdate (ID: 106712) of size 7008
    Type UnityEngine.UI.Text (ID: 127136) of size 6980
    Type UnityEngine.UI.Text (ID: 106566) of size 6980
    Type UnityEngine.UI.Text (ID: 127154) of size 6980
    Type ComCommonBind (ID: 127810) of size 6820
    Type UnityEngine.UI.Text (ID: 93416) of size 6728
    Type GameClient.ComCommonConsume (ID: 110224) of size 6076
    Type GameClient.ComCommonConsume (ID: 110212) of size 6076
    Type GameClient.ComCommonConsume (ID: 110112) of size 6076
    Type GameClient.ComCommonConsume (ID: 110018) of size 6076
    Type GameClient.ComCommonConsume (ID: 109994) of size 6076
    Type GameClient.ComCommonConsume (ID: 110310) of size 6076
    Type ComDungeonScoreInfo (ID: 118504) of size 6072
    Type ComDungeonScoreInfo (ID: 118500) of size 6072
    Type ComCommonBind (ID: 110026) of size 6012
    Type ComCommonBind (ID: 110002) of size 6012
    Type ComCommonBind (ID: 110318) of size 6012
    Type ComCommonBind (ID: 110120) of size 6012
    Type ComCommonBind (ID: 110220) of size 6012
    Type ComCommonBind (ID: 110232) of size 6012
    Type UnityEngine.UI.Text (ID: 106708) of size 5964
    Type ImageNumber (ID: 119046) of size 5916
    Type UnityEngine.UI.Text (ID: 109898) of size 5712
    Type UnityEngine.UI.Dropdown (ID: 93570) of size 5620
    Type ComExpBar (ID: 126264) of size 5524
    Type UnityEngine.UI.Toggle (ID: 109584) of size 5512
    Type UnityEngine.EventSystems.StandaloneInputModule (ID: -1864) of size 5428
    Type ActiveBindRecords (ID: 106336) of size 5388
    Type ActiveVarBinder (ID: 106498) of size 5276
    Type UnityEngine.UI.Text (ID: -169120) of size 5220
    Type UnityEngine.EventSystems.EventSystem (ID: -1862) of size 5220
    Type NpcInteraction (ID: -224428) of size 5016
    Type HGTownShow (ID: 123392) of size 4744
    Type ComScrollRectTips (ID: 109400) of size 4640
    Type GameClient.ComFlyNumber (ID: 126456) of size 4504
    Type UnityEngine.UI.Text (ID: 105004) of size 4436
    Type UnityEngine.UI.Text (ID: 104128) of size 4436
    Type ComTime (ID: 126382) of size 4416
    Type NewSuperLinkText (ID: -206736) of size 4332
    Type NewSuperLinkText (ID: -206988) of size 4324
    Type NewSuperLinkText (ID: -206904) of size 4324
    Type NewSuperLinkText (ID: -206820) of size 4324
    Type NewSuperLinkText (ID: -224536) of size 4260
    Type NewSuperLinkText (ID: -206546) of size 4244
    Type NewSuperLinkText (ID: -224784) of size 4244
    Type NewSuperLinkText (ID: -225040) of size 4244
    Type NewSuperLinkText (ID: -170328) of size 4244
    Type UnityEngine.UI.Text (ID: 107594) of size 4184
    Type UnityEngine.UI.Text (ID: 127314) of size 4184
    Type UnityEngine.UI.Text (ID: 107754) of size 4184
    Type UnityEngine.UI.Text (ID: 109610) of size 4184
    Type UnityEngine.UI.Extensions.Gradient (ID: -169072) of size 4152
    Type UnityEngine.UI.TextLayoutElement (ID: 123870) of size 4016
    Type UnityEngine.UI.Text (ID: 106078) of size 3932
    Type UnityEngine.UI.Text (ID: -206516) of size 3932
    Type UnityEngine.UI.Text (ID: 111634) of size 3932
    Type UnityEngine.UI.Text (ID: 123398) of size 3932
    Type UnityEngine.UI.Text (ID: 121250) of size 3932
    Type UnityEngine.UI.Text (ID: 119042) of size 3932
    Type UnityEngine.UI.Text (ID: 109896) of size 3932
    Type DG.Tweening.DOTweenAnimation (ID: 125574) of size 3920
    Type DG.Tweening.DOTweenAnimation (ID: 125580) of size 3920
    Type DG.Tweening.DOTweenAnimation (ID: 125576) of size 3920
    Type DG.Tweening.DOTweenAnimation (ID: 125562) of size 3920
    Type DG.Tweening.DOTweenAnimation (ID: 125564) of size 3920
    Type DG.Tweening.DOTweenAnimation (ID: 127578) of size 3912
    Type DG.Tweening.DOTweenAnimation (ID: 127616) of size 3912
    Type DG.Tweening.DOTweenAnimation (ID: 107784) of size 3912
    Type DG.Tweening.DOTweenAnimation (ID: 118392) of size 3912
    Type DG.Tweening.DOTweenAnimation (ID: 108026) of size 3912
    Type DG.Tweening.DOTweenAnimation (ID: 125612) of size 3912
    Type DG.Tweening.DOTweenAnimation (ID: 93876) of size 3912
    Type DG.Tweening.DOTweenAnimation (ID: 125638) of size 3888
    Type DG.Tweening.DOTweenAnimation (ID: 125648) of size 3888
    Type ComCommonBoard (ID: 109710) of size 3824
    Type SimpleTimer (ID: 117982) of size 3744
    Type GameClient.ComFlyNumber (ID: 126454) of size 3740
    Type GameClient.ComFlyNumber (ID: 126452) of size 3740
    Type GameClient.ComFlyNumber (ID: 126458) of size 3740
    Type GameClient.ComFlyNumber (ID: 126450) of size 3740
    Type HGTownShow (ID: 109294) of size 3728
    Type UnityEngine.UI.Text (ID: 104562) of size 3680
    Type UnityEngine.UI.Text (ID: 126736) of size 3680
    Type UnityEngine.UI.Text (ID: 93924) of size 3680
    Type UnityEngine.UI.Text (ID: 106742) of size 3680
    Type UnityEngine.UI.Text (ID: 105704) of size 3680
    Type UnityEngine.UI.Text (ID: 93696) of size 3680
    Type UnityEngine.UI.Text (ID: 93666) of size 3680
    Type UnityEngine.UI.Text (ID: 125628) of size 3680
    Type UnityEngine.UI.Text (ID: 125618) of size 3680
    Type UnityEngine.UI.Extensions.Gradient (ID: -206430) of size 3648
    Type UnityEngine.UI.TextLayoutElement (ID: 127850) of size 3512
    Type UnityEngine.UI.Text (ID: -169052) of size 3448
    Type UnityEngine.UI.Text (ID: 112244) of size 3420
    Type UnityEngine.UI.Text (ID: 121252) of size 3420
    Type UnityEngine.UI.Text (ID: 125548) of size 3420
    Type UnityEngine.UI.Text (ID: 93438) of size 3420
    Type UnityEngine.UI.Text (ID: 121254) of size 3420
    Type UnityEngine.UI.Text (ID: 107098) of size 3420
    Type UnityEngine.UI.Text (ID: 106624) of size 3420
    Type UnityEngine.UI.Text (ID: 106600) of size 3420
    Type UnityEngine.UI.Text (ID: 126380) of size 3420
    Type UnityEngine.UI.Text (ID: 94250) of size 3420
    Type UnityEngine.UI.Text (ID: 94212) of size 3420
    Type UnityEngine.UI.Text (ID: 94226) of size 3420
    Type UnityEngine.UI.Text (ID: 94210) of size 3420
    Type UnityEngine.UI.Text (ID: 94252) of size 3420
    Type UnityEngine.UI.Text (ID: 128042) of size 3420
    Type UnityEngine.UI.Text (ID: 94228) of size 3420
    Type ComTime (ID: 118784) of size 3400
    Type ComTime (ID: 126374) of size 3400
    Type ComTime (ID: 118790) of size 3400
    Type MoneyBinder (ID: 107854) of size 3224
    Type UnityEngine.UI.Text (ID: -169070) of size 3208
    Type UnityEngine.UI.Text (ID: 103970) of size 3168
    Type UnityEngine.UI.Text (ID: 123926) of size 3168
    Type UnityEngine.UI.Text (ID: 111574) of size 3168
    Type UnityEngine.UI.Text (ID: 104458) of size 3168
    Type UnityEngine.UI.Text (ID: 126902) of size 3168
    Type UnityEngine.UI.Text (ID: 107588) of size 3168
    Type UnityEngine.UI.Text (ID: 118350) of size 3168
    Type UnityEngine.UI.Text (ID: 103460) of size 3168
    Type UnityEngine.UI.Text (ID: 111220) of size 3168
    Type UnityEngine.UI.Text (ID: 107714) of size 3168
    Type UnityEngine.UI.Text (ID: 104248) of size 3168
    Type UnityEngine.UI.Text (ID: 123868) of size 3168
    Type DG.Tweening.DOTweenAnimation (ID: 123486) of size 3160
    Type DG.Tweening.DOTweenAnimation (ID: 123484) of size 3160
    Type DG.Tweening.DOTweenAnimation (ID: 127468) of size 3160
    Type DG.Tweening.DOTweenAnimation (ID: 127554) of size 3160
    Type UnityEngine.UI.Extensions.Gradient (ID: -168956) of size 3128
    Type DG.Tweening.DOTweenAnimation (ID: 102684) of size 3104
    Type DG.Tweening.DOTweenAnimation (ID: 102596) of size 3104
    Type DG.Tweening.DOTweenAnimation (ID: 102648) of size 3104
    Type DG.Tweening.DOTweenAnimation (ID: 102690) of size 3104
    Type UnityEngine.UI.Text (ID: 110282) of size 2916
    Type UnityEngine.UI.Text (ID: 110194) of size 2916
    Type UnityEngine.UI.Text (ID: 127036) of size 2916
    Type UnityEngine.UI.Text (ID: 94122) of size 2916
    Type UnityEngine.UI.Text (ID: 118318) of size 2916
    Type UnityEngine.UI.Text (ID: 109296) of size 2916
    Type UnityEngine.UI.Text (ID: 128102) of size 2916
    Type UnityEngine.UI.Text (ID: 111702) of size 2916
    Type UnityEngine.UI.Text (ID: 128092) of size 2916
    Type UnityEngine.UI.Text (ID: 104614) of size 2916
    Type UnityEngine.UI.Text (ID: 107516) of size 2916
    Type UnityEngine.UI.Text (ID: 107642) of size 2916
    Type UnityEngine.UI.Text (ID: 111818) of size 2916
    Type UnityEngine.UI.Text (ID: 127184) of size 2916
    Type UnityEngine.UI.Text (ID: 126660) of size 2916
    Type UnityEngine.UI.Text (ID: 126520) of size 2916
    Type UnityEngine.UI.Text (ID: 111746) of size 2916
    Type UnityEngine.UI.Text (ID: 112036) of size 2916
    Type UnityEngine.UI.Text (ID: 127064) of size 2916
    Type UnityEngine.UI.Text (ID: 126548) of size 2916
    Type UnityEngine.UI.Text (ID: 112078) of size 2916
    Type UnityEngine.UI.Text (ID: 127190) of size 2916
    Type UnityEngine.UI.Text (ID: 128018) of size 2916
    Type UnityEngine.UI.Text (ID: 126694) of size 2916
    Type UnityEngine.UI.Text (ID: 118054) of size 2916
    Type UnityEngine.UI.Text (ID: 126764) of size 2916
    Type UnityEngine.UI.Text (ID: 111044) of size 2916
    Type UnityEngine.UI.Text (ID: 118968) of size 2916
    Type UnityEngine.UI.Text (ID: 111782) of size 2916
    Type UnityEngine.UI.Text (ID: -226562) of size 2916
    Type UnityEngine.UI.Text (ID: 111514) of size 2916
    Type UnityEngine.UI.Text (ID: 106796) of size 2916
    Type UnityEngine.UI.Text (ID: 106900) of size 2916
    Type UnityEngine.UI.Text (ID: 118986) of size 2916
    Type UnityEngine.UI.Text (ID: 127748) of size 2916
    Type UnityEngine.UI.Text (ID: 93624) of size 2916
    Type UnityEngine.UI.Text (ID: 93628) of size 2916
    Type UnityEngine.UI.Text (ID: 127744) of size 2916
    Type UnityEngine.UI.Text (ID: 127752) of size 2916
    Type UnityEngine.UI.Text (ID: 127724) of size 2916
    Type UnityEngine.UI.Text (ID: 110140) of size 2916
    Type UnityEngine.UI.Text (ID: 110050) of size 2916
    Type UnityEngine.UI.Text (ID: 118980) of size 2916
    Type UnityEngine.UI.Text (ID: 111786) of size 2916
    Type DG.Tweening.DOTweenAnimation (ID: 94166) of size 2760
    Type DG.Tweening.DOTweenAnimation (ID: 94196) of size 2760
    Type DG.Tweening.DOTweenAnimation (ID: 94168) of size 2760
    Type DG.Tweening.DOTweenAnimation (ID: 94104) of size 2760
    Type DG.Tweening.DOTweenAnimation (ID: 94152) of size 2760
    Type DG.Tweening.DOTweenAnimation (ID: 94154) of size 2760
    Type DG.Tweening.DOTweenAnimation (ID: 94102) of size 2760
    Type DG.Tweening.DOTweenAnimation (ID: 94194) of size 2760
    Type DG.Tweening.DOTweenAnimation (ID: 102680) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 123944) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 119118) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 118150) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 118036) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 123744) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 104576) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 118064) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 118016) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 123932) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 102592) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 123930) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 102604) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 119034) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 127614) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 125904) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 127562) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 123946) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 102634) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 119120) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 105008) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 127594) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 123482) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 123480) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 127606) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 127570) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 119126) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 102622) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 119124) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 102580) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 119108) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 119106) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 119102) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 123998) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 119096) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 119100) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 119094) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 93882) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 119114) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 125578) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 127476) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 127522) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 125594) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 102626) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 127498) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 93888) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 119112) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 127530) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 125572) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: 125650) of size 2752
    Type DG.Tweening.DOTweenAnimation (ID: -207110) of size 2744
    Type UnityEngine.UI.Text (ID: -170650) of size 2704
    Type UnityEngine.UI.Text (ID: -169620) of size 2704
    Type UnityEngine.UI.Text (ID: -206428) of size 2704
    Type UnityEngine.UI.ScrollRect (ID: 93638) of size 2680
    Type UnityEngine.UI.ScrollRect (ID: 93678) of size 2680
    Type UnityEngine.UI.Text (ID: 107498) of size 2664
    Type UnityEngine.UI.Text (ID: 107574) of size 2664
    Type UnityEngine.UI.Text (ID: 93922) of size 2664
    Type UnityEngine.UI.Text (ID: 126978) of size 2664
    Type UnityEngine.UI.Text (ID: 126964) of size 2664
    Type UnityEngine.UI.Text (ID: 128070) of size 2664
    Type UnityEngine.UI.Text (ID: 104272) of size 2664
    Type UnityEngine.UI.Text (ID: 106978) of size 2664
    Type UnityEngine.UI.Text (ID: 127168) of size 2664
    Type UnityEngine.UI.Text (ID: 118428) of size 2664
    Type UnityEngine.UI.Text (ID: 118436) of size 2664
    Type UnityEngine.UI.Text (ID: 112246) of size 2664
    Type UnityEngine.UI.Text (ID: 107826) of size 2664
    Type UnityEngine.UI.Text (ID: 107880) of size 2664
    Type UnityEngine.UI.Text (ID: 107330) of size 2664
    Type UnityEngine.UI.Text (ID: 127812) of size 2664
    Type UnityEngine.UI.Text (ID: 106036) of size 2664
    Type UnityEngine.UI.Text (ID: -169784) of size 2664
    Type UnityEngine.UI.Text (ID: 107092) of size 2664
    Type UnityEngine.UI.Text (ID: 118596) of size 2664
    Type UnityEngine.UI.Text (ID: 102618) of size 2664
    Type UnityEngine.UI.Text (ID: 127142) of size 2664
    Type UnityEngine.UI.Text (ID: 126392) of size 2664
    Type UnityEngine.UI.Text (ID: 103478) of size 2664
    Type UnityEngine.UI.Text (ID: 128028) of size 2664
    Type UnityEngine.UI.Text (ID: 112054) of size 2664
    Type UnityEngine.UI.Text (ID: 104844) of size 2664
    Type UnityEngine.UI.Text (ID: 94186) of size 2664
    Type UnityEngine.UI.Text (ID: 93906) of size 2664
    Type UnityEngine.UI.Text (ID: 107308) of size 2664
    Type UnityEngine.UI.Text (ID: 112120) of size 2664
    Type UnityEngine.UI.Text (ID: 104748) of size 2664
    Type UnityEngine.UI.Text (ID: 127052) of size 2664
    Type UnityEngine.UI.Text (ID: 128052) of size 2664
    Type UnityEngine.UI.Text (ID: 112070) of size 2664
    Type UnityEngine.UI.Text (ID: 126986) of size 2664
    Type UnityEngine.UI.Text (ID: 103796) of size 2664
    Type ComEffect (ID: -206602) of size 2576
    Type ComEffect (ID: -207022) of size 2552
    Type GameClient.ComChapterDungeonMap (ID: 109892) of size 2536
    Type UnityEngine.UI.Text (ID: -207118) of size 2436
